product_id,url,product_title,product_brand,product_rating,product_rating_count,product_image,stock_status,vendor_price,product_os,screen_size,memory_size,question_answered
B083JXPDL5,https://www.amazon.com/-/es/Android-Octa-Core-Processor-Storage-ZA5T0300US/dp/B083JXPDL5,"Lenovo Tab M10 Plus, 10.3"" FHD Android Tablet, Octa-Core Processor, 64GB Storage, 4GB RAM, Iron Grey, ZA5T0300US",Lenovo,4.5,"4,865",https://images-na.ssl-images-amazon.com/images/I/71sfODG%2Bc%2BL._AC_SY450_.jpg,in stock,US$ 169.99,,10.3 Pulgadas,64 GB,556
B086KKKT15,https://www.amazon.com/-/es/Octa-Core-retroiluminado-dactilares-integrado-SF314-42-R9YN/dp/B086KKKT15,"Acer Swift 3 Thin & Light Laptop, 14"" Full HD IPS, AMD Ryzen 7 4700U Octa-Core con gráficos Radeon, 8GB LPDDR4, 512GB NVMe SSD, Wi-Fi 6, KB retroiluminado, lector de huellas dactilares, Alexa integrado, SF314-42-R9YN",Acer,4.6,"1,872",https://images-na.ssl-images-amazon.com/images/I/71W5ZdS%2BsEL._AC_SX522_.jpg,in stock,US$ 679.99,Windows 10 Home,14 Pulgadas,8 GB,233
B07GM2J11Q,https://www.amazon.com/-/es/Lenovo-Chromebook-2-en-1-Laptop-convertible/dp/B07GM2J11Q,Lenovo Chromebook 2-en-1 Laptop convertible,Lenovo,4.5,"6,644",https://images-na.ssl-images-amazon.com/images/I/812MizmMvkL._AC_SY450_.jpg,in stock,US$ 282.74,Chrome OS,11.6 Pulgadas,4 GB,1000+
B086226DDB,https://www.amazon.com/-/es/port%C3%A1til-pantalla-procesador-Graphics-81X20005US/dp/B086226DDB,"Lenovo Flex 5 14"" portátil 2 en 1, pantalla táctil FHD de 14.0"" (1920 x 1080), procesador AMD Ryzen 5 4500U, 16GB DDR4, 256GB SSD, AMD Radeon Graphics, lápiz digital incluido, Win 10, 81X20005US, gris grafito",Lenovo,4.5,"3,750",https://images-na.ssl-images-amazon.com/images/I/81AbJXWCxXL._AC_SX450_.jpg,in stock,US$ 718.98,Windows 10,14 Pulgadas,16 GB,390
B088X2YR3X,https://www.amazon.com/-/es/TC-895-UA92-Desktop-procesador-i5-10400-802-11ax/dp/B088X2YR3X,"Acer Aspire TC-895-UA92 Desktop, procesador Intel Core i5-10400 de 6 núcleos, 12GB 2666MHz DDR4, 512GB NVMe M.2 SSD, 8X DVD, 802.11ax Wi-Fi 6, USB 3.2 tipo C, Windows 10 Home",Acer,4.6,877,https://images-na.ssl-images-amazon.com/images/I/61A%2BK1MjTeL._AC_SY450_.jpg,in stock,US$ 549.99,,,12 GB,130
B085B3GFRL,https://www.amazon.com/-/es/Leopard-pulgadas-pantalla-delgado-i7-10750H/dp/B085B3GFRL,"Laptop Leopard Gaming 2021, MSI, GL65, 15.6 pulgadas, FHD, 144 Hz, 3 ms, pantalla de bisel delgado, Intel seis núcleos i7-10750H (hasta 5 GHz), NVIDIA RTX2070, 16 GB RAM, 1 TB NVMe SSD.",MSI,4.7,"1,675",https://images-na.ssl-images-amazon.com/images/I/81ftUqDdYFL._AC_SY355_.jpg,in stock,"US$ 1,351.83",Windows 10 Home,15.6 Pulgadas,16 GB,319
B086383HC7,https://www.amazon.com/-/es/Chromebook-procesador-incorporado-integrados-82B80006UX/dp/B086383HC7,"Lenovo Chromebook Flex 5 portátil de 13"", pantalla táctil FHD (1920 x 1080), procesador Intel Core i3-10110U, 4 GB DDR4 incorporado, 64 GB SSD Intel, gráficos integrados Chrome, 82B80006UX, gris grafito",Lenovo,4.5,"1,778",https://images-na.ssl-images-amazon.com/images/I/61uGUA0i5AL._AC_SY450_.jpg,in stock,US$ 390.79,Chrome OS,13.3 Pulgadas,4 GB,246
B087RTV311,https://www.amazon.com/-/es/Computadora-port%C3%A1til-Acer-Aspire-A515/dp/B087RTV311,Computadora portátil Acer Aspire 5 A515.,Acer,4.6,"1,140",https://images-na.ssl-images-amazon.com/images/I/81AdDRxcO7L._AC_SX466_.jpg,in stock,US$ 549.99,Windows 10 Home,15.6 Pulgadas,8 GB,174
B07VZ39199,https://www.amazon.com/-/es/BR6933/dp/B07VZ39199,"HP Chromebook x360 14-inch HD Touchscreen Laptop, Intel Celeron N4000, 4 GB RAM, 32 GB eMMC, Chrome (14b-ca0010nr, Ceramic White/Mineral Silver)",HP,4.6,"1,573",https://images-na.ssl-images-amazon.com/images/I/8173Or14LpL._AC_SX466_.jpg,out of stock,,Chrome OS,14 Pulgadas,4 GB,91
B08FBN5STQ,https://www.amazon.com/-/es/SM-T870NZKAXAR-Samsung-Tableta-Galaxy-S7/dp/B08FBN5STQ,Samsung - Tableta Galaxy S7,Samsung Electronics,4.8,"2,544",https://images-na.ssl-images-amazon.com/images/I/71rw%2BF2aLHL._AC_SY679_.jpg,in stock,US$ 529.99,,11 Pulgadas,128 GB,242
B0872K4XCJ,https://www.amazon.com/-/es/Pantalla-Procesador-Gr%C3%A1ficos-81W10094US-Negocios/dp/B0872K4XCJ,"Lenovo IDeapad 3 15 ""laptop, 15.6"" HD (1366 x 768) Pantalla, AMD RYZEN 3 3250U Procesador, 4GB DDR4 RAM a bordo, 128 GB SSD, AMD Radeon Vega 3 Gráficos, Windows 10, 81W10094US, Negocios Negro",Lenovo,4.5,614,https://images-na.ssl-images-amazon.com/images/I/71arQOG5qPL._AC_SX679_.jpg,in stock,US$ 359.99,Windows 10 S,15.6 Pulgadas,4 GB,73
B086MFZBM9,https://www.amazon.com/-/es/Razer-Blade-15-i7-10750H-GeForce/dp/B086MFZBM9,"Razer Blade 15 - Laptop gamer 2020: Intel Core i7-10750H 6-Core, NVIDIA GeForce GTX 1660 Ti",Razer,4.6,838,https://images-na.ssl-images-amazon.com/images/I/71r5254QPZL._AC_SX450_.jpg,in stock,"US$ 1,499.99",Windows 10,15.6 Pulgadas,16 GB,96
B085344M9Q,https://www.amazon.com/-/es/VivoBook-pantalla-R7-3700U-Graphics-F512DA-NH77/dp/B085344M9Q,"ASUS VivoBook 15 Thin & Light Laptop, pantalla FHD de 15.6"", CPU AMD Quad Core R7-3700U, 8GB DDR4 RAM, 512GB PCIe SSD, AMD Radeon Vega 10 Graphics, huella digital, Windows 10 Home, Slate Gray, F512DA-NH77",ASUS,4.6,640,https://images-na.ssl-images-amazon.com/images/I/81fstJkUlaL._AC_SX425_.jpg,in stock,US$ 649.00,Windows 10 Home,15.6 Pulgadas,8 GB,78
B07D3DDJ4L,https://www.amazon.com/-/es/%C3%BAltimo-modelo-pulgadas-MR7F2LL-renovado/dp/B07D3DDJ4L,iPad (2018 último modelo) con Wi-Fi solo 32GB Apple 9.7 pulgadas iPad MR7F2LL/A Space Gray (renovado),Apple,4.7,795,https://images-na.ssl-images-amazon.com/images/I/71iCsEpE-xL._AC_SY741_.jpg,in stock,US$ 292.00,,9.7 Pulgadas,32 GB,159
B07L52KX7B,https://www.amazon.com/-/es/port%C3%A1til-HP-14-Chromebook-Bluetooth/dp/B07L52KX7B,"PC portátil HP de 14 pulgadas Chromebook HD pantalla táctil (Intel Celeron N3350 hasta 2,4 GHz, 4 GB RAM, 32 GB de memoria flash, WiFi, cámara HD, Bluetooth, hasta 10 horas de duración de la batería, Chrome OS, negro)",HP,4.5,"1,150",https://images-na.ssl-images-amazon.com/images/I/51S2jGQCNAL._AC_SX569_.jpg,in stock,US$ 265.00,Windows 10,14 Pulgadas,4 GB,132
B0849GZCQR,https://www.amazon.com/-/es/HP-Computadora-pulgadas-A9-9425-24-f0020/dp/B0849GZCQR,"HP - Computadora todo en uno de 24 pulgadas, AMD A9-9425, 8 GB de RAM, 1 TB de disco duro, Windows 10 (24-f0020, blanco)",HP,4.6,530,https://images-na.ssl-images-amazon.com/images/I/81gjltwz-qL._AC_SY450_.jpg,in stock,US$ 619.00,,,8 GB,83
B083BGRNMZ,https://www.amazon.com/-/es/K105-X11-MIX-2/dp/B083BGRNMZ,X11-MIX-2,ZONKO,3.8,"6,008",https://images-na.ssl-images-amazon.com/images/I/61NfcHUmxBL._AC_SX466_.jpg,out of stock,,,10.1 Pulgadas,32 GB,439
B0856QVM2F,https://www.amazon.com/-/es/Chromebook-pantalla-MediaTek-gr%C3%A1ficos-ZA6F0031US/dp/B0856QVM2F,"Lenovo Chromebook Duet, 2 en 1, 10.1"" WUXGA (1920 x 1200) pantalla, MediaTek Helio P60T, 4GB LPDDR4X RAM, 64GB eMCP SSD, ARM G72 MP3 gráficos, Chrome OS, ZA6F0031US, azul hielo + hierro gris",Lenovo,4.5,410,https://images-na.ssl-images-amazon.com/images/I/71nDBnG8kGL._AC_SX450_.jpg,in stock,US$ 220.89,Chrome OS,10.1 Pulgadas,4 GB,81
B088X29HF6,https://www.amazon.com/-/es/TC-895-UA91-Desktop-procesador-i3-10100-802-11ax/dp/B088X29HF6,"Acer Aspire TC-895-UA91 Desktop, procesador Intel Core i3-10100 de 4 núcleos, 8GB 2666MHz DDR4, 512GB NVMe M.2 SSD, 8X DVD, 802.11ax Wi-Fi 6, USB 3.2 tipo C, Windows 10 Home",Acer,4.6,481,https://images-na.ssl-images-amazon.com/images/I/61A%2BK1MjTeL._AC_SY450_.jpg,in stock,US$ 426.99,,,8 GB,70
B07YNJGMH6,https://www.amazon.com/-/es/Microsoft-Surface-Pro-7-Platino/dp/B07YNJGMH6,"Microsoft Surface Pro 7, Platino",Microsoft,4.6,"2,182",https://images-na.ssl-images-amazon.com/images/I/714cHoaDUpL._AC_SX569_.jpg,out of stock,,,12.3 Pulgadas,128 GB,243
B08FPT92JD,https://www.amazon.com/-/es/iBUYPOWER-Desktop-Revolt-9330-i5-10600K/dp/B08FPT92JD,"iBUYPOWER Pro Gaming PC Desktop Revolt 2 9330 (Intel i5-10600K 4.10GHz, NVIDIA GTX 1660 Super 6GB, 8GB DDR4 RAM, 240GB SSD, 1TB HDD, WiFi Ready, Windows 10 Home)",IBUYPOWER,4.3,74,https://images-na.ssl-images-amazon.com/images/I/51%2BfvgO-JwL._AC_SY450_.jpg,in stock,"US$ 1,259.99",,,8 GB,66
B0886JS35F,https://www.amazon.com/-/es/Port%C3%A1til-Stream-pulgadas-Intel-Celeron/dp/B0886JS35F,"Portátil HP Stream de 11 pulgadas, Intel Celeron",HP,4.4,"1,837",https://images-na.ssl-images-amazon.com/images/I/71idFa2cEuL._AC_SY450_.jpg,in stock,US$ 254.99,Windows 10 Home,11.6 Pulgadas,4 GB,103
B08BXB1N1V,https://www.amazon.com/-/es/procesador-pantalla-antirreflejos-pulgadas-22-df0022/dp/B08BXB1N1V,"HP 22 PC todo en uno, procesador AMD Athlon Gold 3150U, 4 GB de RAM, SSD de 256 GB, pantalla antirreflejos Full HD IPS de 21,5 pulgadas, Windows 10 Home, ratón y teclado USB (22-df0022, 2020)",HP,4.7,652,https://images-na.ssl-images-amazon.com/images/I/718WVCB635L._AC_SY450_.jpg,in stock,US$ 556.99,,,4 GB,53
B07GLV1VC7,https://www.amazon.com/-/es/Chromebook-port%C3%A1til-pantalla-procesador-81JW0000US/dp/B07GLV1VC7,"Lenovo Chromebook S330 portátil, pantalla FHD de 14 pulgadas (1920 x 1080), procesador MediaTek MT8173C, 4 GB LPDDR3, 64 GB eMMC, Chrome OS, 81JW0000US, Negocio Negro",Lenovo,4.3,"1,444",https://images-na.ssl-images-amazon.com/images/I/61ViOMIUhmL._AC_SX679_.jpg,in stock,US$ 279.99,Chrome OS,14 Pulgadas,4 GB,231
B07XC3CW4G,https://www.amazon.com/-/es/tel%C3%A9fono-llamadas-desbloqueado-SM-T295-internacional/dp/B07XC3CW4G,"Samsung Galaxy Tab A 8.0"" (2019, WiFi + celular) 32 GB, Hotspot, batería de 5100mAh, 4G LTE Tablet y teléfono (hace llamadas) GSM desbloqueado SM-T295, modelo internacional, Negro 32 GB",Samsung Electronics,4.4,"1,792",https://images-na.ssl-images-amazon.com/images/I/51RScDZUEfL._AC_SX466_.jpg,in stock,US$ 154.99,,8 Pulgadas,32 GB,277
B088HFS3M5,https://www.amazon.com/-/es/C24-963-UA91-pantalla-i3-1005G1-802-11ac-inal%C3%A1mbricos/dp/B088HFS3M5,"Acer Aspire C24-963-UA91 AIO Desktop, pantalla Full HD de 23,8"", Intel Core i3-1005G1, 8GB DDR4, 512GB NVMe M.2 SSD, 802.11ac Wi-Fi 5, teclado y ratón inalámbricos, Windows 10 Home",Acer,4.5,"2,012",https://images-na.ssl-images-amazon.com/images/I/61PlVVOd3QL._AC_SX425_.jpg,in stock,US$ 579.99,,,8 GB,254
B0894DBTRV,https://www.amazon.com/-/es/Laptop-Pavilion-Pentium-Silver-Windows/dp/B0894DBTRV,"Laptop HP Pavilion Intel Pentium Silver N5000, 4 GB, 128 GB, SSD, Windows 10, color rojo",HP,4.5,956,https://images-na.ssl-images-amazon.com/images/I/717ywJDnAHL._AC_SX679_.jpg,in stock,US$ 362.98,Windows 10 S,15.6 Pulgadas,4 GB,96
B08NXSJVCR,https://www.amazon.com/-/es/IdeaPad-i5-1035G1-pulgadas-port%C3%A1til-pantalla/dp/B08NXSJVCR,Lenovo IdeaPad 3 Intel i5-1035G1 Quad Core 12GB RAM 256GB SSD 15.6 pulgadas portátil pantalla táctil,Lenovo,4.5,311,https://images-na.ssl-images-amazon.com/images/I/61DrCbSkM4L._AC_SX679_.jpg,in stock,US$ 579.00,Windows 10,15.6 Pulgadas,12 GB,56
B07VDB92RK,https://www.amazon.com/-/es/Samsung-SM-T290NZKAXAR-Galaxy-Android-Tablet/dp/B07VDB92RK,"Samsung SM-T290NZKAXAR, Galaxy Tab A 8.0 ""32 GB Wifi Android 9.0 Pie Tablet Negro 2019",Samsung Electronics,4.6,"10,976",https://images-na.ssl-images-amazon.com/images/I/41UPtXbP4LL._AC_SX569_.jpg,out of stock,,,8 Pulgadas,32 GB,701
B086Z4CY5V,https://www.amazon.com/-/es/Samsung-Galaxy-10-4-pulgadas-rosada-SM-P610NZIAXAR/dp/B086Z4CY5V,"Samsung Galaxy Tab S6 Lite de 10.4 pulgadas, 64 GB, con wifi, rosada, SM-P610NZIAXAR",Samsung Electronics,4.7,492,https://images-na.ssl-images-amazon.com/images/I/718B6zl%2Bb6L._AC_SY450_.jpg,in stock,US$ 382.14,,10.4,128 GB,71
B08BS5LW7X,https://www.amazon.com/-/es/Dell-Inspiron-Desktop-3880-generaci%C3%B3n/dp/B08BS5LW7X,"Dell Inspiron Desktop 3880 - Intel Core i5 10ª generación, 12 GB de memoria, unidad de estado sólido de 512 GB, Windows 10 Pro, 2 años en el sitio (último modelo) - negro",Dell,4.6,375,https://images-na.ssl-images-amazon.com/images/I/71s1fwAw55L._AC_SY450_.jpg,in stock,US$ 669.99,,,12 GB,82
B07BZF4MYM,https://www.amazon.com/-/es/Apple-pulgadas-port%C3%A1til-Dual-Core-Bluetooth/dp/B07BZF4MYM,"Apple MacBook Air MJVM2LL/A 11,6 pulgadas portátil (Intel Core i5 Dual-Core 1,6 GHz hasta 2,7 GHz, 4 GB de RAM, 128 GB SSD, Wi-Fi, Bluetooth 4.0, Intel HD Graphics 6000, Mac OS) (renovado)",Apple,4.3,"1,614",https://images-na.ssl-images-amazon.com/images/I/91wYB53Y4aL._AC_SX466_.jpg,in stock,US$ 449.00,MacOS 10.13 High Sierra,11.6 Pulgadas,4 GB,190
B086KJBKDW,https://www.amazon.com/-/es/AN515-54-5812-Acer/dp/B086KJBKDW,Acer.,Acer,4.7,"2,945",https://images-na.ssl-images-amazon.com/images/I/71s1LRpaprL._AC_SX569_.jpg,in stock,US$ 735.00,Windows 10 Home,15.6 Pulgadas,8 GB,386
B074PWW6NS,https://www.amazon.com/-/es/Apple-9-7inch-32GB-Modelo-Renovado/dp/B074PWW6NS,Apple iPad 9.7inch con WiFi 32GB- Space Gray (Modelo 2017) (Renovado),Apple,4.6,"4,410",https://images-na.ssl-images-amazon.com/images/I/71iCsEpE-xL._AC_SY741_.jpg,in stock,US$ 256.00,,9.7 Pulgadas,32 GB,299
B08KH2Q1FG,https://www.amazon.com/-/es/i7-9750H-GeForce-Gigabit-Windows-FX505GT-AB73/dp/B08KH2Q1FG,"ASUS TUF Gaming Laptop, 15.6"" 144Hz Full HD tipo IPS, Intel Core i7-9750H, GeForce GTX 1650, 8GB DDR4, 512GB PCIe SSD, Gigabit Wi-Fi 5, Windows 10 Home, FX505GT-AB73",ASUS,4.7,"1,173",https://images-na.ssl-images-amazon.com/images/I/81gK08T6tYL._AC_SY355_.jpg,in stock,US$ 869.00,Windows 10 Home,15.6 Pulgadas,8 GB,235
B06XT8K96M,https://www.amazon.com/-/es/Apple-iPad-versi%C3%B3n-reciente-reacondicionado/dp/B06XT8K96M,Apple iPad Air 2 versión más reciente (reacondicionado),Apple,4.4,"8,150",https://images-na.ssl-images-amazon.com/images/I/61oVLSb3M2L._AC_SY606_.jpg,in stock,US$ 269.99,,9.7 Pulgadas,32 GB,649
B08FBP36TS,https://www.amazon.com/-/es/Samsung-Galaxy-Tab-S7-Wifi/dp/B08FBP36TS,Samsung Galaxy Tab S7+ Wifi,Samsung Electronics,4.8,"1,711",https://images-na.ssl-images-amazon.com/images/I/71rw%2BF2aLHL._AC_SY679_.jpg,in stock,US$ 797.36,,12.4 Pulgadas,512 GB,257
B089N4WC3L,https://www.amazon.com/-/es/IdeaCentre-Todo-en-Uno-Procesador-Integrados-F0EW005SUS/dp/B089N4WC3L,"Lenovo IdeaCentre AIO 3, 24"" All-in-One Ordenador Todo-en-Uno AMD Ryzen 5 4500U Procesador Móvil, Gráficos Integrados, 16GB DDR4, 512GB M.2 Nombre SSD, DVD RW Drive, Windows 10, F0EW005SUS, Negocio Negro",Lenovo,4.7,409,https://images-na.ssl-images-amazon.com/images/I/81eRAX3sB6L._AC_SX466_.jpg,in stock,US$ 602.11,,,16 GB,77
B07XJZ7VQD,https://www.amazon.com/-/es/Samsung-5100mAh-bater%C3%ADa-SM-T290-internacional/dp/B07XJZ7VQD,"Samsung Galaxy Tab A 8.0"" (2019, sólo WiFi) 32GB, 5100mAh batería, altavoz doble, SM-T290, modelo internacional (negro)",SAMSUNG,4.6,"3,892",https://images-na.ssl-images-amazon.com/images/I/61Rjge5oR1L._AC_SY450_.jpg,out of stock,,,8 Pulgadas,32 GB,215
B08QV7KMQZ,https://www.amazon.com/-/es/dp/B08QV7KMQZ,"ROG Zephyrus G15 Ultra Slim Gaming Laptop, 15.6” 240Hz Pantone Validated FHD Display, GeForce RTX 2060 Max-Q, AMD Ryzen 9 4900HS, 16GB DDR4, 1TB PCIe SSD, Gig+ Wi-Fi 6, Windows 10 Home, GA502IV-PH96",ASUS,4.4,313,https://images-na.ssl-images-amazon.com/images/I/81ef5sbZznL._AC_SX466_.jpg,in stock,"US$ 1,299.99",Windows 10 Home,15.6 Pulgadas,16 GB,91
B08SWJT5Q2,https://www.amazon.com/-/es/GF75-Thin-10UEK-029-i7-10750H-RTX3060/dp/B08SWJT5Q2,"MSI GF75 Thin 10UEK-029 17.3"" 144Hz 3ms FHD Gaming Laptop Intel Core i7-10750H RTX3060 16GB 512GB NVMe SSD Win10",MSI,5.0,2,https://images-na.ssl-images-amazon.com/images/I/81zEnuQbktL._AC_SY450_.jpg,in stock,"US$ 1,299.00",Windows 10 Home,17.3 Pulgadas,16 GB,
B01LZORCUR,https://www.amazon.com/-/es/MD760LL-pulgadas-port%C3%A1til-Dual-Core-Bluetooth/dp/B01LZORCUR,"Apple MacBook Air MD760LL/A 13,3 pulgadas portátil (Intel Core i5 Dual-Core 1,3 GHz hasta 2,6 GHz, 4 GB RAM, 128 GB SSD, Wi-Fi, Bluetooth 4.0) (renovado)",Apple,4.4,"1,512",https://images-na.ssl-images-amazon.com/images/I/61oPbujIUkL._AC_SX522_.jpg,in stock,US$ 559.00,MAC OS X,13.3 Pulgadas,4 GB,198
B08842D7JS,https://www.amazon.com/-/es/Acer-Predator-Helios-300-Computadora/dp/B08842D7JS,"Acer Predator Helios 300 - Computadora portátil para juegos de video , Intel i7-10750H, NVIDIA GeForce RTX 2060 6GB, pantalla HD de 15.6"" con monitor de 144Hz 3ms IPS, canal dual de 16GB DDR4",Acer,4.7,"2,857",https://images-na.ssl-images-amazon.com/images/I/71k45hZkLmL._AC_SX425_.jpg,out of stock,,Windows 10 Home,15.6 Pulgadas,16 GB,426
B0869JVMLY,https://www.amazon.com/-/es/ASUS-UX534FTC-AS77-ZenBook-Ordenador-compatible/dp/B0869JVMLY,"ASUS UX534FTC-AS77 ZenBook 15 - Ordenador portátil (15,6"", UHD 4K NanoEdge, Intel Core i7-10510U, GeForce GTX 1650, 16 GB, 512 GB PCIe SSD, ScreenPad 2.0, compatible con Amazon Alexa, Windows 10, Icicle Silver)",ASUS,4.4,762,https://images-na.ssl-images-amazon.com/images/I/81W7WT%2BOmsL._AC_SY355_.jpg,in stock,"US$ 1,199.99",Windows 10 Home,15.6 Pulgadas,16 GB,147
B08CM17RPZ,https://www.amazon.com/-/es/port%C3%A1til-almacenamiento-pantalla-Microsoft-14-fq0040nr/dp/B08CM17RPZ,"HP portátil 14, AMD 3020e, 4 GB de RAM, 64 GB de almacenamiento eMMC, pantalla táctil HD de 14 pulgadas, Windows 10 Home in S Mode, batería de larga duración, Microsoft 365, (14-fq0040nr, 2020)",HP,4.5,625,https://images-na.ssl-images-amazon.com/images/I/81H2GbwVaXL._AC_SY550_.jpg,in stock,US$ 308.88,Windows 10 Home,14 Pulgadas,4 GB,95
B07XL4JHXR,https://www.amazon.com/-/es/SAMSUNG-XE310XBA-K02US-Chromebook-Celeron-Processor/dp/B07XL4JHXR,"SAMSUNG XE310XBA-K02US Chromebook 4 Chrome OS 11.6"" HD Intel Celeron Processor N4000 4GB RAM 64GB eMMC Gigabit Wifi",Samsung Electronics,4.5,"2,166",https://images-na.ssl-images-amazon.com/images/I/8172kS3Ec-L._AC_SX425_.jpg,in stock,US$ 229.99,Chrome OS,11.6 Pulgadas,4 GB,177
B0869DPZJ3,https://www.amazon.com/-/es/MatrixPad-pulgadas-almacenamiento-procesador-operativo/dp/B0869DPZJ3,"VANKYO MatrixPad S10 Tablet de 10 pulgadas, 2 GB de RAM, 32 GB de almacenamiento, procesador de cuatro núcleos, sistema operativo Android, pantalla IPS HD de 10,1"", Wi-Fi, puerto USB tipo C, GPS, FM, color negro pizarra",Vankyo,4.4,"3,186",https://images-na.ssl-images-amazon.com/images/I/71DqCnmwBPL._AC_SX466_.jpg,in stock,US$ 109.99,,10 Pulgadas,32 GB,218
